year,source,target,type,amount
2007,Australia,AUS,male,84219
2007,Australia,AUS,female,83721
2007,Australia,AUS,total,167940
2007,New Zealand,AUS,male,3532
2007,New Zealand,AUS,female,2696
2007,New Zealand,AUS,total,6228
2007,Germany,AUS,male,667
2007,Germany,AUS,female,603
2007,Germany,AUS,total,1270
2007,Ireland,AUS,male,495
2007,Ireland,AUS,female,324
2007,Ireland,AUS,total,819
2007,United Kindom,AUS,male,7338
2007,United Kindom,AUS,female,5345
2007,United Kindom,AUS,total,12683
2007,Greece,AUS,male,221
2007,Greece,AUS,female,106
2007,Greece,AUS,total,327
2007,Italy,AUS,male,414
2007,Italy,AUS,female,188
2007,Italy,AUS,total,602
2007,Lebanon,AUS,male,681
2007,Lebanon,AUS,female,389
2007,Lebanon,AUS,total,1070
2007,Malaysia,AUS,male,704
2007,Malaysia,AUS,female,873
2007,Malaysia,AUS,total,1577
2007,Philippines,AUS,male,658
2007,Philippines,AUS,female,1783
2007,Philippines,AUS,total,2441
2007,Viet Nam,AUS,male,1428
2007,Viet Nam,AUS,female,1698
2007,Viet Nam,AUS,total,3126
2007,China,AUS,male,2106
2007,China,AUS,female,3093
2007,China,AUS,total,5199
2007,India,AUS,male,1177
2007,India,AUS,female,961
2007,India,AUS,total,2138
2007,America,AUS,male,843
2007,America,AUS,female,715
2007,America,AUS,total,1558
2007,South Africa,AUS,male,770
2007,South Africa,AUS,female,753
2007,South Africa,AUS,total,1523
2008,Australia,AUS,male,84986
2008,Australia,AUS,female,83843
2008,Australia,AUS,total,168829
2008,New Zealand,AUS,male,3503
2008,New Zealand,AUS,female,2831
2008,New Zealand,AUS,total,6334
2008,Germany,AUS,male,618
2008,Germany,AUS,female,659
2008,Germany,AUS,total,1277
2008,Ireland,AUS,male,410
2008,Ireland,AUS,female,314
2008,Ireland,AUS,total,724
2008,United Kindom,AUS,male,7234
2008,United Kindom,AUS,female,5182
2008,United Kindom,AUS,total,12416
2008,Greece,AUS,male,149
2008,Greece,AUS,female,77
2008,Greece,AUS,total,226
2008,Italy,AUS,male,350
2008,Italy,AUS,female,176
2008,Italy,AUS,total,526
2008,Lebanon,AUS,male,716
2008,Lebanon,AUS,female,442
2008,Lebanon,AUS,total,1158
2008,Malaysia,AUS,male,764
2008,Malaysia,AUS,female,971
2008,Malaysia,AUS,total,1735
2008,Philippines,AUS,male,718
2008,Philippines,AUS,female,1894
2008,Philippines,AUS,total,2612
2008,Viet Nam,AUS,male,1502
2008,Viet Nam,AUS,female,1822
2008,Viet Nam,AUS,total,3324
2008,China,AUS,male,2449
2008,China,AUS,female,3516
2008,China,AUS,total,5965
2008,India,AUS,male,1577
2008,India,AUS,female,1294
2008,India,AUS,total,2871
2008,America,AUS,male,771
2008,America,AUS,female,647
2008,America,AUS,total,1418
2008,South Africa,AUS,male,866
2008,South Africa,AUS,female,761
2008,South Africa,AUS,total,1627
2009,Australia,AUS,male,84383
2009,Australia,AUS,female,82736
2009,Australia,AUS,total,167119
2009,New Zealand,AUS,male,3447
2009,New Zealand,AUS,female,2723
2009,New Zealand,AUS,total,6170
2009,Germany,AUS,male,585
2009,Germany,AUS,female,619
2009,Germany,AUS,total,1204
2009,Ireland,AUS,male,435
2009,Ireland,AUS,female,285
2009,Ireland,AUS,total,720
2009,United Kindom,AUS,male,6866
2009,United Kindom,AUS,female,5142
2009,United Kindom,AUS,total,12008
2009,Greece,AUS,male,188
2009,Greece,AUS,female,91
2009,Greece,AUS,total,279
2009,Italy,AUS,male,345
2009,Italy,AUS,female,165
2009,Italy,AUS,total,510
2009,Lebanon,AUS,male,648
2009,Lebanon,AUS,female,375
2009,Lebanon,AUS,total,1023
2009,Malaysia,AUS,male,788
2009,Malaysia,AUS,female,1017
2009,Malaysia,AUS,total,1805
2009,Philippines,AUS,male,737
2009,Philippines,AUS,female,1971
2009,Philippines,AUS,total,2708
2009,Viet Nam,AUS,male,1759
2009,Viet Nam,AUS,female,2106
2009,Viet Nam,AUS,total,3865
2009,China,AUS,male,3211
2009,China,AUS,female,4561
2009,China,AUS,total,7772
2009,India,AUS,male,1923
2009,India,AUS,female,1564
2009,India,AUS,total,3487
2009,America,AUS,male,792
2009,America,AUS,female,739
2009,America,AUS,total,1531
2009,South Africa,AUS,male,830
2009,South Africa,AUS,female,791
2009,South Africa,AUS,total,1621
2010,Australia,AUS,male,83840
2010,Australia,AUS,female,82185
2010,Australia,AUS,total,166025
2010,New Zealand,AUS,male,3624
2010,New Zealand,AUS,female,2813
2010,New Zealand,AUS,total,6437
2010,Germany,AUS,male,620
2010,Germany,AUS,female,601
2010,Germany,AUS,total,1221
2010,Ireland,AUS,male,443
2010,Ireland,AUS,female,318
2010,Ireland,AUS,total,761
2010,United Kindom,AUS,male,6775
2010,United Kindom,AUS,female,4996
2010,United Kindom,AUS,total,11771
2010,Greece,AUS,male,170
2010,Greece,AUS,female,95
2010,Greece,AUS,total,265
2010,Italy,AUS,male,410
2010,Italy,AUS,female,152
2010,Italy,AUS,total,562
2010,Lebanon,AUS,male,635
2010,Lebanon,AUS,female,393
2010,Lebanon,AUS,total,1028
2010,Malaysia,AUS,male,1986
2010,Malaysia,AUS,female,1100
2010,Malaysia,AUS,total,3086
2010,Philippines,AUS,male,909
2010,Philippines,AUS,female,2113
2010,Philippines,AUS,total,3022
2010,Viet Nam,AUS,male,784
2010,Viet Nam,AUS,female,2419
2010,Viet Nam,AUS,total,3203
2010,China,AUS,male,3645
2010,China,AUS,female,5205
2010,China,AUS,total,8850
2010,India,AUS,male,2286
2010,India,AUS,female,1538
2010,India,AUS,total,3824
2010,America,AUS,male,798
2010,America,AUS,female,810
2010,America,AUS,total,1608
2010,South Africa,AUS,male,873
2010,South Africa,AUS,female,814
2010,South Africa,AUS,total,1687
2011,Australia,AUS,male,83423
2011,Australia,AUS,female,81328
2011,Australia,AUS,total,164751
2011,New Zealand,AUS,male,3463
2011,New Zealand,AUS,female,2725
2011,New Zealand,AUS,total,6188
2011,Germany,AUS,male,565
2011,Germany,AUS,female,613
2011,Germany,AUS,total,1178
2011,Ireland,AUS,male,489
2011,Ireland,AUS,female,275
2011,Ireland,AUS,total,764
2011,United Kindom,AUS,male,6280
2011,United Kindom,AUS,female,4699
2011,United Kindom,AUS,total,10979
2011,Greece,AUS,male,164
2011,Greece,AUS,female,108
2011,Greece,AUS,total,272
2011,Italy,AUS,male,363
2011,Italy,AUS,female,196
2011,Italy,AUS,total,559
2011,Lebanon,AUS,male,673
2011,Lebanon,AUS,female,410
2011,Lebanon,AUS,total,1083
2011,Malaysia,AUS,male,837
2011,Malaysia,AUS,female,1113
2011,Malaysia,AUS,total,1950
2011,Philippines,AUS,male,2065
2011,Philippines,AUS,female,2234
2011,Philippines,AUS,total,4299
2011,Viet Nam,AUS,male,948
2011,Viet Nam,AUS,female,2648
2011,Viet Nam,AUS,total,3596
2011,China,AUS,male,4195
2011,China,AUS,female,5922
2011,China,AUS,total,10117
2011,India,AUS,male,2813
2011,India,AUS,female,1758
2011,India,AUS,total,4571
2011,America,AUS,male,779
2011,America,AUS,female,765
2011,America,AUS,total,1544
2011,South Africa,AUS,male,922
2011,South Africa,AUS,female,865
2011,South Africa,AUS,total,1787
2012,Australia,AUS,male,84758
2012,Australia,AUS,female,82665
2012,Australia,AUS,total,167423
2012,New Zealand,AUS,male,3557
2012,New Zealand,AUS,female,2763
2012,New Zealand,AUS,total,6320
2012,Germany,AUS,male,523
2012,Germany,AUS,female,576
2012,Germany,AUS,total,1099
2012,Ireland,AUS,male,561
2012,Ireland,AUS,female,297
2012,Ireland,AUS,total,858
2012,United Kindom,AUS,male,6303
2012,United Kindom,AUS,female,4604
2012,United Kindom,AUS,total,10907
2012,Greece,AUS,male,152
2012,Greece,AUS,female,92
2012,Greece,AUS,total,244
2012,Italy,AUS,male,377
2012,Italy,AUS,female,168
2012,Italy,AUS,total,545
2012,Lebanon,AUS,male,626
2012,Lebanon,AUS,female,416
2012,Lebanon,AUS,total,1042
2012,Malaysia,AUS,male,903
2012,Malaysia,AUS,female,1109
2012,Malaysia,AUS,total,2012
2012,Philippines,AUS,male,878
2012,Philippines,AUS,female,2275
2012,Philippines,AUS,total,3153
2012,Viet Nam,AUS,male,2040
2012,Viet Nam,AUS,female,2610
2012,Viet Nam,AUS,total,4650
2012,China,AUS,male,4232
2012,China,AUS,female,5946
2012,China,AUS,total,10178
2012,India,AUS,male,3052
2012,India,AUS,female,1801
2012,India,AUS,total,4853
2012,America,AUS,male,809
2012,America,AUS,female,793
2012,America,AUS,total,1602
2012,South Africa,AUS,male,991
2012,South Africa,AUS,female,948
2012,South Africa,AUS,total,1939
2013,Australia,AUS,male,80687
2013,Australia,AUS,female,78701
2013,Australia,AUS,total,159388
2013,New Zealand,AUS,male,3545
2013,New Zealand,AUS,female,2785
2013,New Zealand,AUS,total,6330
2013,Germany,AUS,male,571
2013,Germany,AUS,female,514
2013,Germany,AUS,total,1085
2013,Ireland,AUS,male,488
2013,Ireland,AUS,female,292
2013,Ireland,AUS,total,780
2013,United Kindom,AUS,male,5854
2013,United Kindom,AUS,female,4204
2013,United Kindom,AUS,total,10058
2013,Greece,AUS,male,203
2013,Greece,AUS,female,171
2013,Greece,AUS,total,374
2013,Italy,AUS,male,465
2013,Italy,AUS,female,210
2013,Italy,AUS,total,675
2013,Lebanon,AUS,male,538
2013,Lebanon,AUS,female,357
2013,Lebanon,AUS,total,895
2013,Malaysia,AUS,male,1098
2013,Malaysia,AUS,female,1127
2013,Malaysia,AUS,total,2225
2013,Philippines,AUS,male,757
2013,Philippines,AUS,female,2281
2013,Philippines,AUS,total,3038
2013,Viet Nam,AUS,male,2081
2013,Viet Nam,AUS,female,2735
2013,Viet Nam,AUS,total,4816
2013,China,AUS,male,4367
2013,China,AUS,female,6073
2013,China,AUS,total,10440
2013,India,AUS,male,3105
2013,India,AUS,female,1893
2013,India,AUS,total,4998
2013,America,AUS,male,702
2013,America,AUS,female,692
2013,America,AUS,total,1394
2013,South Africa,AUS,male,1043
2013,South Africa,AUS,female,930
2013,South Africa,AUS,total,1973
2014,Australia,AUS,male,81668
2014,Australia,AUS,female,79166
2014,Australia,AUS,total,160834
2014,New Zealand,AUS,male,3661
2014,New Zealand,AUS,female,2785
2014,New Zealand,AUS,total,6446
2014,Germany,AUS,male,581
2014,Germany,AUS,female,584
2014,Germany,AUS,total,1165
2014,Ireland,AUS,male,541
2014,Ireland,AUS,female,312
2014,Ireland,AUS,total,853
2014,United Kindom,AUS,male,5841
2014,United Kindom,AUS,female,4466
2014,United Kindom,AUS,total,10307
2014,Greece,AUS,male,197
2014,Greece,AUS,female,135
2014,Greece,AUS,total,332
2014,Italy,AUS,male,459
2014,Italy,AUS,female,213
2014,Italy,AUS,total,672
2014,Lebanon,AUS,male,579
2014,Lebanon,AUS,female,318
2014,Lebanon,AUS,total,897
2014,Malaysia,AUS,male,991
2014,Malaysia,AUS,female,1126
2014,Malaysia,AUS,total,2117
2014,Philippines,AUS,male,877
2014,Philippines,AUS,female,2444
2014,Philippines,AUS,total,3321
2014,Viet Nam,AUS,male,2072
2014,Viet Nam,AUS,female,2813
2014,Viet Nam,AUS,total,4885
2014,China,AUS,male,4814
2014,China,AUS,female,6586
2014,China,AUS,total,11400
2014,India,AUS,male,2707
2014,India,AUS,female,1761
2014,India,AUS,total,4468
2014,America,AUS,male,778
2014,America,AUS,female,798
2014,America,AUS,total,1576
2014,South Africa,AUS,male,947
2014,South Africa,AUS,female,860
2014,South Africa,AUS,total,1807
2015,Australia,AUS,male,76613
2015,Australia,AUS,female,73480
2015,Australia,AUS,total,150093
2015,New Zealand,AUS,male,3418
2015,New Zealand,AUS,female,2743
2015,New Zealand,AUS,total,6161
2015,Germany,AUS,male,510
2015,Germany,AUS,female,503
2015,Germany,AUS,total,1013
2015,Ireland,AUS,male,516
2015,Ireland,AUS,female,288
2015,Ireland,AUS,total,804
2015,United Kindom,AUS,male,5527
2015,United Kindom,AUS,female,4164
2015,United Kindom,AUS,total,9691
2015,Greece,AUS,male,177
2015,Greece,AUS,female,117
2015,Greece,AUS,total,294
2015,Italy,AUS,male,442
2015,Italy,AUS,female,213
2015,Italy,AUS,total,655
2015,Lebanon,AUS,male,563
2015,Lebanon,AUS,female,321
2015,Lebanon,AUS,total,884
2015,Malaysia,AUS,male,996
2015,Malaysia,AUS,female,1158
2015,Malaysia,AUS,total,2154
2015,Philippines,AUS,male,891
2015,Philippines,AUS,female,2554
2015,Philippines,AUS,total,3445
2015,Viet Nam,AUS,male,2065
2015,Viet Nam,AUS,female,2871
2015,Viet Nam,AUS,total,4936
2015,China,AUS,male,4549
2015,China,AUS,female,6129
2015,China,AUS,total,10678
2015,India,AUS,male,2071
2015,India,AUS,female,1544
2015,India,AUS,total,3615
2015,America,AUS,male,705
2015,America,AUS,female,755
2015,America,AUS,total,1460
2015,South Africa,AUS,male,1039
2015,South Africa,AUS,female,951
2015,South Africa,AUS,total,1990
2016,Australia,AUS,male,80362
2016,Australia,AUS,female,76746
2016,Australia,AUS,total,157108
2016,New Zealand,AUS,male,3458
2016,New Zealand,AUS,female,2661
2016,New Zealand,AUS,total,6119
2016,Germany,AUS,male,510
2016,Germany,AUS,female,570
2016,Germany,AUS,total,1080
2016,Ireland,AUS,male,571
2016,Ireland,AUS,female,310
2016,Ireland,AUS,total,881
2016,United Kindom,AUS,male,5625
2016,United Kindom,AUS,female,4230
2016,United Kindom,AUS,total,9855
2016,Greece,AUS,male,177
2016,Greece,AUS,female,132
2016,Greece,AUS,total,309
2016,Italy,AUS,male,450
2016,Italy,AUS,female,244
2016,Italy,AUS,total,694
2016,Lebanon,AUS,male,506
2016,Lebanon,AUS,female,280
2016,Lebanon,AUS,total,786
2016,Malaysia,AUS,male,1191
2016,Malaysia,AUS,female,1384
2016,Malaysia,AUS,total,2575
2016,Philippines,AUS,male,910
2016,Philippines,AUS,female,2753
2016,Philippines,AUS,total,3663
2016,Viet Nam,AUS,male,2076
2016,Viet Nam,AUS,female,2946
2016,Viet Nam,AUS,total,5022
2016,China,AUS,male,4530
2016,China,AUS,female,6208
2016,China,AUS,total,10738
2016,India,AUS,male,2091
2016,India,AUS,female,1618
2016,India,AUS,total,3709
2016,America,AUS,male,773
2016,America,AUS,female,808
2016,America,AUS,total,1581
2016,South Africa,AUS,male,986
2016,South Africa,AUS,female,1027
2016,South Africa,AUS,total,2013
2017,Australia,AUS,male,75453
2017,Australia,AUS,female,71986
2017,Australia,AUS,total,147439
2017,New Zealand,AUS,male,3230
2017,New Zealand,AUS,female,2673
2017,New Zealand,AUS,total,5903
2017,Germany,AUS,male,487
2017,Germany,AUS,female,518
2017,Germany,AUS,total,1005
2017,Ireland,AUS,male,490
2017,Ireland,AUS,female,283
2017,Ireland,AUS,total,773
2017,United Kindom,AUS,male,5315
2017,United Kindom,AUS,female,3983
2017,United Kindom,AUS,total,9298
2017,Greece,AUS,male,180
2017,Greece,AUS,female,127
2017,Greece,AUS,total,307
2017,Italy,AUS,male,447
2017,Italy,AUS,female,220
2017,Italy,AUS,total,667
2017,Lebanon,AUS,male,487
2017,Lebanon,AUS,female,250
2017,Lebanon,AUS,total,737
2017,Malaysia,AUS,male,1222
2017,Malaysia,AUS,female,1375
2017,Malaysia,AUS,total,2597
2017,Philippines,AUS,male,991
2017,Philippines,AUS,female,2560
2017,Philippines,AUS,total,3551
2017,Viet Nam,AUS,male,2076
2017,Viet Nam,AUS,female,2915
2017,Viet Nam,AUS,total,4991
2017,China,AUS,male,4344
2017,China,AUS,female,5954
2017,China,AUS,total,10298
2017,India,AUS,male,2291
2017,India,AUS,female,1770
2017,India,AUS,total,4061
2017,America,AUS,male,754
2017,America,AUS,female,768
2017,America,AUS,total,1522
2017,South Africa,AUS,male,1036
2017,South Africa,AUS,female,924
2017,South Africa,AUS,total,1960
